speed,id,status,direction,geocoding,longitude,latitude,plate_no,extrainfo,ts,labels
0,758a1804-d873-4438-977b-ae8d70b0db67,park,86,"Khu đô thị Nam An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.71652,21.001228,29KT10822,,1691048400000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,86,"Khu đô thị Nam An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.716515,21.001234,29KT10822,,1691048460000,0
18,758a1804-d873-4438-977b-ae8d70b0db67,run,86,"Khu đô thị Nam An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.718425,21.001466,29KT10822,,1691048520000,0
29,758a1804-d873-4438-977b-ae8d70b0db67,run,67,"Khu đô thị Nam An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.72263000000001,21.0029045,29KT10822,,1691048580000,0
31,758a1804-d873-4438-977b-ae8d70b0db67,run,74,"Khu đô thị Nam An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.72684,21.004141,29KT10822,,1691048640000,0
33,758a1804-d873-4438-977b-ae8d70b0db67,run,75,"Khu đô thị Nam An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.731338,21.0053215,29KT10822,,1691048700000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,81,"Khu đô thị Nam An Khánh, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.732427,21.004054,29KT10822,,1691048760000,0
36,758a1804-d873-4438-977b-ae8d70b0db67,run,163,"Đường Hoàng Tùng, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",105.734005,20.998948499999997,29KT10822,,1691048820000,0
34,758a1804-d873-4438-977b-ae8d70b0db67,run,162,"Đường Hoàng Tùng, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.7354275,20.994319,29KT10822,,1691048880000,0
26,758a1804-d873-4438-977b-ae8d70b0db67,run,163,"Đường Dương Nội, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.73649499999999,20.9907825,29KT10822,,1691048940000,0
30,758a1804-d873-4438-977b-ae8d70b0db67,run,151,"Đường Dương Nội, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.738365,20.98745,29KT10822,,1691049000000,0
33,758a1804-d873-4438-977b-ae8d70b0db67,run,150,"Đường Dương Nội, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.74045000000001,20.9840105,29KT10822,,1691049060000,0
21,758a1804-d873-4438-977b-ae8d70b0db67,run,135,"Đối diện Ngõ Chùa Phổ Quang, Đường Dương Nội, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.743357,20.9809715,29KT10822,,1691049120000,0
30,758a1804-d873-4438-977b-ae8d70b0db67,run,134,"Đường Dương Nội, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.74676550000001,20.9773265,29KT10822,,1691049180000,0
35,758a1804-d873-4438-977b-ae8d70b0db67,run,167,"Đường Dương Nội, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.748185,20.9721915,29KT10822,,1691049240000,0
41,758a1804-d873-4438-977b-ae8d70b0db67,run,121,"Đường Dương Nội, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75238999999999,20.969305,29KT10822,,1691049300000,0
18,758a1804-d873-4438-977b-ae8d70b0db67,run,177,"La Khê, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.7520175,20.966286,29KT10822,,1691049360000,0
39,758a1804-d873-4438-977b-ae8d70b0db67,run,238,"T Mart, Phố Nguyễn Văn Trác, Dương Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.748062,20.962881,29KT10822,,1691049420000,0
42,758a1804-d873-4438-977b-ae8d70b0db67,run,237,"Phố Nguyễn Văn Trác, Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.74204,20.959459,29KT10822,,1691049480000,0
35,758a1804-d873-4438-977b-ae8d70b0db67,run,239,"Phố Nguyễn Văn Trác, Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.7391395,20.957675000000002,29KT10822,,1691049540000,0
36,758a1804-d873-4438-977b-ae8d70b0db67,run,61,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.743695,20.959847500000002,29KT10822,,1691049600000,0
33,758a1804-d873-4438-977b-ae8d70b0db67,run,128,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.746722,20.958849999999998,29KT10822,,1691049660000,0
17,758a1804-d873-4438-977b-ae8d70b0db67,run,133,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.7496525,20.9581565,29KT10822,,1691049720000,0
26,758a1804-d873-4438-977b-ae8d70b0db67,run,110,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.752927,20.9581005,29KT10822,,1691049780000,0
15,758a1804-d873-4438-977b-ae8d70b0db67,run,110,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75416,20.958307,29KT10822,,1691049840000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,111,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75428,20.957642,29KT10822,,1691049960000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,111,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75428,20.957642,29KT10822,,1691050080000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,111,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75428,20.957642,29KT10822,,1691050200000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,114,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75442,20.95759,29KT10822,,1691050320000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,100,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75442,20.95759,29KT10822,,1691050440000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,100,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75442,20.95759,29KT10822,,1691050560000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,100,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75442,20.95759,29KT10822,,1691050680000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,100,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75442,20.95759,29KT10822,,1691050800000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,100,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75442,20.95759,29KT10822,,1691050920000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,100,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75442,20.95759,29KT10822,,1691051040000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,100,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.754475,20.9575665,29KT10822,"{""odometer"": 589.6}",1691051100000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,111,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75453,20.95755,29KT10822,"{""odometer"": 589.6}",1691051220000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,111,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75453,20.95755,29KT10822,"{""odometer"": 589.6}",1691051340000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,111,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75453,20.95755,29KT10822,"{""odometer"": 589.6}",1691051460000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,111,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75453,20.95755,29KT10822,"{""odometer"": 589.6}",1691051580000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,116,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.7546,20.957579,29KT10822,"{""odometer"": 589.6}",1691051700000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,116,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75463,20.9576065,29KT10822,"{""odometer"": 589.6}",1691051760000,0
21,758a1804-d873-4438-977b-ae8d70b0db67,run,192,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.753914,20.95823,29KT10822,"{""odometer"": 589.7}",1691051820000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,24,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.753914,20.958492,29KT10822,"{""odometer"": 589.9}",1691051940000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,24,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.753914,20.958492,29KT10822,"{""odometer"": 589.9}",1691052060000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,22,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.753944,20.958591,29KT10822,"{""odometer"": 589.9}",1691052120000,0
7,758a1804-d873-4438-977b-ae8d70b0db67,run,304,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.753876,20.958754,29KT10822,"{""odometer"": 589.9}",1691052180000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,296,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.753876,20.958754,29KT10822,"{""odometer"": 589.9}",1691052300000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,park,83,"Phú La, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75351,20.958858,29KT10822,"{""odometer"": 589.9}",1691052360000,0
9,758a1804-d873-4438-977b-ae8d70b0db67,run,249,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.752835,20.9579075,29KT10822,"{""odometer"": 589.9}",1691052420000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75271,20.95762,29KT10822,"{""odometer"": 590.1}",1691052480000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75271,20.957617,29KT10822,"{""odometer"": 590.1}",1691052540000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.7527,20.957615,29KT10822,"{""odometer"": 590.1}",1691052600000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.7527,20.957611,29KT10822,"{""odometer"": 590.1}",1691052660000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75269,20.957605,29KT10822,"{""odometer"": 590.1}",1691052720000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75269,20.957602,29KT10822,"{""odometer"": 590.1}",1691052780000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75269,20.9576,29KT10822,"{""odometer"": 590.1}",1691052840000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.752686,20.957598,29KT10822,"{""odometer"": 590.1}",1691052900000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.752686,20.9576,29KT10822,"{""odometer"": 590.1}",1691052960000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.752686,20.957602,29KT10822,"{""odometer"": 590.1}",1691053020000,0
0,758a1804-d873-4438-977b-ae8d70b0db67,stop,198,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",105.75268,20.957603,29KT10822,"{""odometer"": 590.1}",1691053080000,0
